@relation stock

@attribute day37 {U, -, F}
@attribute day36 {U, -, F}
@attribute day35 {U, -, F}
@attribute day34 {U, -, F}
@attribute day33 {U, -, F}
@attribute day32 {U, -, F}
@attribute day31 {U, -, F}
@attribute day30 {U, -, F}
@attribute day29 {U, -, F}
@attribute day28 {U, -, F}
@attribute day27 {U, -, F}
@attribute day26 {U, -, F}
@attribute day25 {U, -, F}
@attribute day24 {U, -, F}
@attribute day23 {U, -, F}
@attribute day22 {U, -, F}
@attribute day21 {U, -, F}
@attribute day20 {U, -, F}
@attribute day19 {U, -, F}
@attribute day18 {U, -, F}
@attribute day17 {U, -, F}
@attribute day16 {U, -, F}
@attribute day15 {U, -, F}
@attribute day14 {U, -, F}
@attribute day13 {U, -, F}
@attribute day12 {U, -, F}
@attribute day11 {U, -, F}
@attribute day10 {U, -, F}
@attribute day9 {U, -, F}
@attribute day8 {U, -, F}
@attribute day7 {U, -, F}
@attribute day6 {U, -, F}
@attribute day5 {U, -, F}
@attribute day4 {U, -, F}
@attribute day3 {U, -, F}
@attribute day2 {U, -, F}
@attribute day1 {U, -, F}
@attribute today {U, -, F}
@attribute tomorrow {U, -, F}

@data
F,F,F,U,F,F,F,U,F,U,F,F,U,U,-,U,F,U,U,F,F,U,U,U,U,U,F,F,U,-,F,U,F,F,F,U,U,F,F
F,F,U,F,U,F,F,U,U,-,U,F,U,U,F,F,U,U,U,U,U,F,F,U,-,F,U,F,F,F,U,U,F,F,-,F,F,F,F
F,F,U,U,-,U,F,U,U,F,F,U,U,U,U,U,F,F,U,-,F,U,F,F,F,U,U,F,F,-,F,F,F,F,U,F,U,-,U
U,F,U,U,F,F,U,U,U,U,U,F,F,U,-,F,U,F,F,F,U,U,F,F,-,F,F,F,F,U,F,U,-,U,F,U,U,-,F
F,U,U,U,U,U,F,F,U,-,F,U,F,F,F,U,U,F,F,-,F,F,F,F,U,F,U,-,U,F,U,U,-,F,U,U,-,F,U
U,F,F,U,-,F,U,F,F,F,U,U,F,F,-,F,F,F,F,U,F,U,-,U,F,U,U,-,F,U,U,-,F,U,F,U,U,F,U
F,U,F,F,F,U,U,F,F,-,F,F,F,F,U,F,U,-,U,F,U,U,-,F,U,U,-,F,U,F,U,U,F,U,U,F,F,F,U
U,U,F,F,-,F,F,F,F,U,F,U,-,U,F,U,U,-,F,U,U,-,F,U,F,U,U,F,U,U,F,F,F,U,U,F,U,F,U
F,F,F,F,U,F,U,-,U,F,U,U,-,F,U,U,-,F,U,F,U,U,F,U,U,F,F,F,U,U,F,U,F,U,F,F,U,U,U
F,U,-,U,F,U,U,-,F,U,U,-,F,U,F,U,U,F,U,U,F,F,F,U,U,F,U,F,U,F,F,U,U,U,U,F,-,F,U
U,U,-,F,U,U,-,F,U,F,U,U,F,U,U,F,F,F,U,U,F,U,F,U,F,F,U,U,U,U,F,-,F,U,U,F,F,U,F
U,-,F,U,F,U,U,F,U,U,F,F,F,U,U,F,U,F,U,F,F,U,U,U,U,F,-,F,U,U,F,F,U,F,U,U,F,U,F
U,U,F,U,U,F,F,F,U,U,F,U,F,U,F,F,U,U,U,U,F,-,F,U,U,F,F,U,F,U,U,F,U,F,F,U,F,U,F
F,F,F,U,U,F,U,F,U,F,F,U,U,U,U,F,-,F,U,U,F,F,U,F,U,U,F,U,F,F,U,F,U,F,F,U,F,F,U
F,U,F,U,F,F,U,U,U,U,F,-,F,U,U,F,F,U,F,U,U,F,U,F,F,U,F,U,F,F,U,F,F,U,-,F,U,F,F
F,U,U,U,U,F,-,F,U,U,F,F,U,F,U,U,F,U,F,F,U,F,U,F,F,U,F,F,U,-,F,U,F,F,F,F,U,U,U
F,-,F,U,U,F,F,U,F,U,U,F,U,F,F,U,F,U,F,F,U,F,F,U,-,F,U,F,F,F,F,U,U,U,U,U,U,U,U
F,F,U,F,U,U,F,U,F,F,U,F,U,F,F,U,F,F,U,-,F,U,F,F,F,F,U,U,U,U,U,U,U,U,U,U,-,F,U
U,F,U,F,F,U,F,U,F,F,U,F,F,U,-,F,U,F,F,F,F,U,U,U,U,U,U,U,U,U,U,-,F,U,F,U,U,U,F
U,F,U,F,F,U,F,F,U,-,F,U,F,F,F,F,U,U,U,U,U,U,U,U,U,U,-,F,U,F,U,U,U,F,U,U,-,F,U
U,F,F,U,-,F,U,F,F,F,F,U,U,U,U,U,U,U,U,U,U,-,F,U,F,U,U,U,F,U,U,-,F,U,F,U,U,U,F
F,U,F,F,F,F,U,U,U,U,U,U,U,U,U,U,-,F,U,F,U,U,U,F,U,U,-,F,U,F,U,U,U,F,F,U,F,U,F
F,U,U,U,U,U,U,U,U,U,U,-,F,U,F,U,U,U,F,U,U,-,F,U,F,U,U,U,F,F,U,F,U,F,U,F,F,U,U
U,U,U,U,U,U,-,F,U,F,U,U,U,F,U,U,-,F,U,F,U,U,U,F,F,U,F,U,F,U,F,F,U,U,F,F,U,U,U
U,-,F,U,F,U,U,U,F,U,U,-,F,U,F,U,U,U,F,F,U,F,U,F,U,F,F,U,U,F,F,U,U,U,U,U,U,U,U
U,U,U,F,U,U,-,F,U,F,U,U,U,F,F,U,F,U,F,U,F,F,U,U,F,F,U,U,U,U,U,U,U,U,F,F,U,U,U
U,-,F,U,F,U,U,U,F,F,U,F,U,F,U,F,F,U,U,F,F,U,U,U,U,U,U,U,U,F,F,U,U,U,U,F,U,U,F
U,U,U,F,F,U,F,U,F,U,F,F,U,U,F,F,U,U,U,U,U,U,U,U,F,F,U,U,U,U,F,U,U,F,F,U,U,F,U
U,F,U,F,U,F,F,U,U,F,F,U,U,U,U,U,U,U,U,F,F,U,U,U,U,F,U,U,F,F,U,U,F,U,U,F,F,U,U
F,F,U,U,F,F,U,U,U,U,U,U,U,U,F,F,U,U,U,U,F,U,U,F,F,U,U,F,U,U,F,F,U,U,F,F,U,U,F
F,U,U,U,U,U,U,U,U,F,F,U,U,U,U,F,U,U,F,F,U,U,F,U,U,F,F,U,U,F,F,U,U,F,F,F,U,U,U
U,U,U,U,F,F,U,U,U,U,F,U,U,F,F,U,U,F,U,U,F,F,U,U,F,F,U,U,F,F,F,U,U,U,F,U,U,U,F
F,U,U,U,U,F,U,U,F,F,U,U,F,U,U,F,F,U,U,F,F,U,U,F,F,F,U,U,U,F,U,U,U,F,F,U,F,U,U
F,U,U,F,F,U,U,F,U,U,F,F,U,U,F,F,U,U,F,F,F,U,U,U,F,U,U,U,F,F,U,F,U,U,F,U,U,F,F
U,U,F,U,U,F,F,U,U,F,F,U,U,F,F,F,U,U,U,F,U,U,U,F,F,U,F,U,U,F,U,U,F,F,U,F,U,F,U
F,F,U,U,F,F,U,U,F,F,F,U,U,U,F,U,U,U,F,F,U,F,U,U,F,U,U,F,F,U,F,U,F,U,F,F,U,F,F
F,U,U,F,F,F,U,U,U,F,U,U,U,F,F,U,F,U,U,F,U,U,F,F,U,F,U,F,U,F,F,U,F,F,U,U,F,U,F
F,U,U,U,F,U,U,U,F,F,U,F,U,U,F,U,U,F,F,U,F,U,F,U,F,F,U,F,F,U,U,F,U,F,F,U,F,U,F
U,U,U,F,F,U,F,U,U,F,U,U,F,F,U,F,U,F,U,F,F,U,F,F,U,U,F,U,F,F,U,F,U,F,U,F,U,U,U
U,F,U,U,F,U,U,F,F,U,F,U,F,U,F,F,U,F,F,U,U,F,U,F,F,U,F,U,F,U,F,U,U,U,U,F,F,F,U
U,U,F,F,U,F,U,F,U,F,F,U,F,F,U,U,F,U,F,F,U,F,U,F,U,F,U,U,U,U,F,F,F,U,F,U,F,F,U
F,U,F,U,F,F,U,F,F,U,U,F,U,F,F,U,F,U,F,U,F,U,U,U,U,F,F,F,U,F,U,F,F,U,U,U,F,F,U
F,U,F,F,U,U,F,U,F,F,U,F,U,F,U,F,U,U,U,U,F,F,F,U,F,U,F,F,U,U,U,F,F,U,U,U,F,F,U
U,F,U,F,F,U,F,U,F,U,F,U,U,U,U,F,F,F,U,F,U,F,F,U,U,U,F,F,U,U,U,F,F,U,F,U,F,U,-
U,F,U,F,U,F,U,U,U,U,F,F,F,U,F,U,F,F,U,U,U,F,F,U,U,U,F,F,U,F,U,F,U,-,F,U,U,U,U
F,U,U,U,U,F,F,F,U,F,U,F,F,U,U,U,F,F,U,U,U,F,F,U,F,U,F,U,-,F,U,U,U,U,U,F,F,F,F
F,F,F,U,F,U,F,F,U,U,U,F,F,U,U,U,F,F,U,F,U,F,U,-,F,U,U,U,U,U,F,F,F,F,F,U,F,F,F
U,F,F,U,U,U,F,F,U,U,U,F,F,U,F,U,F,U,-,F,U,U,U,U,U,F,F,F,F,F,U,F,F,F,F,U,U,U,U
U,F,F,U,U,U,F,F,U,F,U,F,U,-,F,U,U,U,U,U,F,F,F,F,F,U,F,F,F,F,U,U,U,U,U,U,F,U,U
U,F,F,U,F,U,F,U,-,F,U,U,U,U,U,F,F,F,F,F,U,F,F,F,F,U,U,U,U,U,U,F,U,U,F,F,U,F,F
U,F,U,-,F,U,U,U,U,U,F,F,F,F,F,U,F,F,F,F,U,U,U,U,U,U,F,U,U,F,F,U,F,F,U,U,F,F,U
U,U,U,U,U,F,F,F,F,F,U,F,F,F,F,U,U,U,U,U,U,F,U,U,F,F,U,F,F,U,U,F,F,U,U,U,F,F,U
F,F,F,F,F,U,F,F,F,F,U,U,U,U,U,U,F,U,U,F,F,U,F,F,U,U,F,F,U,U,U,F,F,U,U,F,U,U,U
U,F,F,F,F,U,U,U,U,U,U,F,U,U,F,F,U,F,F,U,U,F,F,U,U,U,F,F,U,U,F,U,U,U,U,F,U,F,U
U,U,U,U,U,U,F,U,U,F,F,U,F,F,U,U,F,F,U,U,U,F,F,U,U,F,U,U,U,U,F,U,F,U,U,F,F,U,U
U,F,U,U,F,F,U,F,F,U,U,F,F,U,U,U,F,F,U,U,F,U,U,U,U,F,U,F,U,U,F,F,U,U,U,F,U,U,F
F,U,F,F,U,U,F,F,U,U,U,F,F,U,U,F,U,U,U,U,F,U,F,U,U,F,F,U,U,U,F,U,U,F,U,U,F,F,U
U,F,F,U,U,U,F,F,U,U,F,U,U,U,U,F,U,F,U,U,F,F,U,U,U,F,U,U,F,U,U,F,F,U,F,U,U,U,F
U,F,F,U,U,F,U,U,U,U,F,U,F,U,U,F,F,U,U,U,F,U,U,F,U,U,F,F,U,F,U,U,U,F,F,F,U,U,F
F,U,U,U,U,F,U,F,U,U,F,F,U,U,U,F,U,U,F,U,U,F,F,U,F,U,U,U,F,F,F,U,U,F,F,U,F,F,U
F,U,F,U,U,F,F,U,U,U,F,U,U,F,U,U,F,F,U,F,U,U,U,F,F,F,U,U,F,F,U,F,F,U,U,U,U,U,U
